# entry_rcm threshold = 2.00 mm, tip_target threshold = 3.00 mm, skull threshold = 0 mm
time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,raw_task_qdot_norm_rad_s,nullspace_joint_contrib_norm_rad_s,boosted_damping,task2_nullspace_disabled,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok,tip_target_ok,skull_ok_0mm
0.0677,0.04770,20.96,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71481,1.04169,0.19560,0.71379,1.04514,0.19562,0.63487,1.31299,0.19750,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,396.482,472.729,394.983,276.733,389.527,396.482,396.026,396.026,28.585,0.000,0.52704,0.52686,0.01232,0.05500,0,0.00000,-0.086,3.693,-80.987,0.469,60.879,0.000,-1.234,-21.094,2.370,6.418,20.459,0.000,0,0,1
0.1256,0.00816,122.51,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71451,1.05713,0.19210,0.71350,1.06058,0.19214,0.63497,1.32854,0.19554,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,385.972,457.232,384.572,265.539,379.147,385.972,384.794,393.198,28.675,0.000,0.51798,0.51779,0.01232,0.05500,0,0.00000,-0.161,2.479,-80.855,0.841,62.047,0.000,-1.319,-20.865,2.234,6.403,19.942,0.000,0,0,1
0.1988,0.02473,40.44,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71416,1.07668,0.18768,0.71315,1.08014,0.18774,0.63497,1.34816,0.19310,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,373.181,437.638,371.916,252.190,366.540,373.181,370.553,405.713,28.757,0.000,0.50767,0.50750,0.01231,0.05500,0,0.00000,-0.261,0.960,-80.695,1.309,63.483,0.000,-1.406,-20.578,2.013,6.382,19.387,0.000,0,0,1
0.2561,0.02162,46.26,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71391,1.09201,0.18421,0.71290,1.09547,0.18430,0.63486,1.36349,0.19121,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,363.591,422.302,362.442,242.446,357.111,363.591,359.372,416.052,28.797,0.000,0.50017,0.49990,0.01231,0.05500,0,0.00000,-0.344,-0.216,-80.576,1.676,64.576,0.000,-1.481,-20.463,2.057,6.389,18.850,0.000,0,0,1
0.3158,0.02621,38.16,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71368,1.10801,0.18060,0.71267,1.11146,0.18071,0.63466,1.37945,0.18925,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,354.034,406.328,353.016,233.034,347.739,354.034,347.693,427.276,28.818,0.000,0.49225,0.49192,0.01231,0.05500,0,0.00000,-0.434,-1.432,-80.457,2.055,65.685,0.000,-1.525,-20.299,1.994,6.349,18.352,0.000,0,0,1
0.3668,0.02466,40.56,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71349,1.12167,0.17753,0.71249,1.12512,0.17766,0.63441,1.39304,0.18759,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,346.265,392.712,345.365,225.670,340.143,346.265,337.710,437.174,28.819,0.000,0.48574,0.48536,0.01231,0.05500,0,0.00000,-0.513,-2.462,-80.357,2.378,66.608,0.000,-1.554,-20.175,1.960,6.313,17.928,0.000,0,0,1
0.4248,0.00932,107.28,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71330,1.13726,0.17403,0.71229,1.14071,0.17418,0.63405,1.40852,0.18571,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,337.877,377.207,337.121,218.100,331.969,337.877,326.310,448.783,28.802,0.000,0.47845,0.47803,0.01230,0.05500,0,0.00000,-0.604,-3.628,-80.247,2.743,67.636,0.000,-1.583,-20.024,1.890,6.271,17.468,0.000,0,0,1
0.4800,0.01498,66.76,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71314,1.15208,0.17071,0.71213,1.15553,0.17088,0.63362,1.42320,0.18393,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,330.407,362.495,329.796,211.796,324.722,330.407,315.462,460.100,28.768,0.000,0.47190,0.47150,0.01229,0.05500,0,0.00000,-0.691,-4.727,-80.150,3.087,68.591,0.000,-1.563,-19.850,1.722,6.173,17.132,0.000,0,0,1
0.5364,0.01597,62.60,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71299,1.16725,0.16733,0.71197,1.17070,0.16751,0.63311,1.43818,0.18211,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,323.313,347.484,322.858,206.323,317.873,323.313,304.355,471.925,28.716,0.000,0.46540,0.46499,0.01228,0.05500,0,0.00000,-0.780,-5.843,-80.053,3.434,69.543,0.000,-1.558,-19.701,1.599,6.101,16.755,0.000,0,0,1
0.5921,0.00647,154.53,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0000,0.99500,0.71286,1.18225,0.16400,0.71183,1.18569,0.16420,0.63252,1.45295,0.18031,0.72929,1.57071,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,316.881,332.694,316.589,201.951,311.703,316.881,293.371,483.827,28.647,0.000,0.45880,0.45832,0.01227,0.05500,0,0.00000,-0.866,-6.938,-79.964,3.771,70.462,0.000,-1.526,-19.603,1.595,5.999,16.306,0.000,0,0,1
