# entry_rcm threshold = 2.00 mm, tip_target threshold = 3.00 mm, skull threshold = 0 mm
time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,raw_task_qdot_norm_rad_s,nullspace_joint_contrib_norm_rad_s,boosted_damping,task2_nullspace_disabled,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok,tip_target_ok,skull_ok_0mm
0.0400,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.96200,0.74327,1.04876,0.18719,0.73461,1.07471,0.18725,0.65368,1.31704,0.18776,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,369.640,439.044,358.889,258.821,362.981,439.044,369.619,377.674,26.534,0.000,0.47984,0.48008,0.01239,0.05500,1,-0.55000,0.771,4.184,-81.742,-0.151,59.092,0.000,16.346,-16.905,-9.971,-8.516,-5.562,0.000,0,0,1
0.1000,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.92900,0.77159,1.07560,0.17490,0.75371,1.12349,0.17473,0.67266,1.34057,0.17395,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,328.843,386.639,312.089,225.588,322.676,386.639,328.831,382.556,24.527,0.000,0.60630,0.60637,0.01231,0.05500,1,-0.55000,1.932,3.222,-82.355,-1.016,58.679,0.000,21.299,-15.245,-10.393,-18.679,-7.986,0.000,0,0,1
0.1600,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.89600,0.80011,1.10278,0.16340,0.77135,1.17191,0.16246,0.69147,1.36390,0.15985,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,287.874,335.214,269.426,192.472,282.238,335.214,287.868,388.492,22.420,24.364,0.66533,0.66530,0.01224,0.05500,1,-0.55000,3.262,2.366,-82.988,-2.322,58.122,0.000,22.318,-13.431,-10.657,-23.520,-10.388,0.000,0,0,0
0.2200,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.86300,0.82872,1.13029,0.15276,0.78734,1.21981,0.15059,0.71008,1.38697,0.14654,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,246.827,285.007,232.839,159.986,241.776,285.007,246.824,395.646,20.231,61.697,0.64773,0.64751,0.01213,0.05500,1,-0.55000,4.545,1.616,-83.629,-3.752,57.422,0.000,20.266,-11.746,-10.662,-23.488,-12.777,0.000,0,0,0
0.2800,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.83000,0.85720,1.15805,0.14289,0.80149,1.26698,0.13932,0.72846,1.40977,0.13465,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,205.866,236.318,205.046,128.448,201.504,236.318,205.865,403.663,17.988,98.146,0.58718,0.58669,0.01206,0.05500,1,-0.55000,5.647,0.963,-84.270,-5.069,56.583,0.000,16.617,-10.203,-10.628,-20.340,-15.000,0.000,0,0,0
0.3400,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.79700,0.88509,1.18566,0.13375,0.81343,1.31295,0.12891,0.74642,1.43199,0.12438,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,165.584,189.746,189.240,98.345,162.113,189.746,165.583,411.917,15.735,133.489,0.52283,0.52176,0.01195,0.05500,1,-0.55000,6.518,0.401,-84.892,-6.160,55.616,0.000,12.908,-8.433,-9.566,-16.709,-16.998,0.000,0,0,0
0.4000,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.76400,0.90985,1.21018,0.12602,0.82123,1.35504,0.12005,0.76233,1.45131,0.11608,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,129.891,147.870,188.124,72.520,127.574,147.870,129.891,418.979,13.690,168.949,0.44840,0.44575,0.01184,0.05500,1,-0.55000,7.180,-0.051,-85.343,-7.055,54.560,0.000,9.347,-7.030,-5.729,-13.095,-17.860,0.000,0,0,0
0.4600,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.73100,0.93061,1.23103,0.11976,0.82455,1.39294,0.11293,0.77572,1.46748,0.10978,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,99.811,110.600,198.964,51.708,99.016,110.600,99.811,424.735,11.942,198.675,0.37138,0.36688,0.01172,0.05500,1,-0.55000,7.627,-0.456,-85.568,-7.696,53.504,0.000,5.940,-6.582,-2.177,-8.650,-17.165,0.000,0,0,0
0.5200,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.69800,0.94735,1.24828,0.11480,0.82374,1.42702,0.10744,0.78656,1.48078,0.10522,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,75.270,77.109,217.381,36.128,76.517,77.109,75.267,429.410,10.512,222.654,0.30296,0.29677,0.01159,0.05500,1,-0.55000,7.892,-0.843,-85.603,-8.082,52.532,0.000,3.266,-6.248,0.485,-4.707,-15.140,0.000,0,0,0
0.5800,0.01000,100.00,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0000,0.66500,0.95900,1.26044,0.11138,0.81841,1.45628,0.10374,0.79414,1.49009,0.10242,1.00000,1.30000,0.10000,0.80000,1.50000,0.07774,1.00000,1.30000,0.13500,0.80000,1.50000,0.10000,1.00000,1.30000,0.10000,58.103,47.586,239.606,27.228,61.677,58.103,58.094,432.586,9.501,0.000,0.16851,0.16527,0.01150,0.05500,1,-0.55000,8.006,-1.089,-85.661,-8.232,51.839,0.000,1.132,-2.376,-2.198,-1.260,-8.937,0.000,0,0,1
