time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,raw_task_qdot_norm_rad_s,nullspace_joint_contrib_norm_rad_s,boosted_damping,task2_nullspace_disabled,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok,tip_target_ok,skull_ok_0mm,log_file,time_rel_s
0.0667,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.96585,0.73998,1.04566,0.18866,0.73228,1.06901,0.18872,0.65145,1.31429,0.1893,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,374.385,445.209,364.556,262.679,367.672,445.209,374.363,377.155,26.762,0.0,0.46136,0.46161,0.01239,0.055,0,-0.55,0.654,4.302,-81.672,-0.088,59.132,0.0,15.339,-17.132,-9.876,-6.711,-5.234,0.0,0,0,1,control.csv,0.0
0.1333,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.9477,0.7555,1.06036,0.18176,0.74304,1.09589,0.18178,0.66191,1.32727,0.18191,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,351.987,416.216,338.197,244.449,345.538,416.216,351.97,379.722,25.678,0.0,0.5353,0.53545,0.01237,0.055,0,-0.55,1.232,3.753,-82.004,-0.441,58.933,0.0,18.842,-16.269,-10.136,-13.234,-6.564,0.0,0,0,1,control.csv,0.0666
0.2,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.92955,0.7711,1.07516,0.17506,0.75339,1.12269,0.17491,0.67233,1.3402,0.1742,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,329.52,387.486,312.839,226.14,323.348,387.486,329.507,382.497,24.563,0.0,0.6025,0.6026,0.01234,0.055,0,-0.55,1.903,3.235,-82.344,-0.983,58.69,0.0,21.195,-15.299,-10.428,-18.381,-7.86,0.0,0,0,1,control.csv,0.13330000000000003
0.2667,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.9114,0.78676,1.09007,0.16861,0.76329,1.14939,0.16811,0.6827,1.35307,0.16639,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,306.999,359.049,288.711,207.862,301.116,359.049,306.99,385.598,23.417,9.047,0.648,0.64802,0.01227,0.055,0,-0.55,2.628,2.749,-82.69,-1.663,58.404,0.0,22.321,-14.344,-10.525,-21.878,-9.224,0.0,0,0,0,control.csv,0.2
0.3333,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.89325,0.80247,1.10509,0.16241,0.77273,1.17595,0.1614,0.69301,1.36586,0.15868,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,284.439,330.942,266.106,189.712,278.857,330.942,284.433,389.081,22.242,27.46,0.66739,0.66736,0.01223,0.055,0,-0.55,3.367,2.296,-83.04,-2.425,58.073,0.0,22.313,-13.344,-10.651,-23.704,-10.531,0.0,0,0,0,control.csv,0.2666
0.4,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.8751,0.8182,1.1202,0.15648,0.78166,1.20235,0.15482,0.70326,1.37858,0.15124,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,261.856,303.209,245.385,171.766,256.592,303.209,261.852,392.938,21.044,48.081,0.66247,0.66236,0.01219,0.055,0,-0.55,4.087,1.875,-83.393,-3.217,57.7,0.0,21.361,-12.363,-10.73,-24.011,-11.829,0.0,0,0,0,control.csv,0.33330000000000004
0.4667,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.85695,0.83393,1.13541,0.1508,0.79005,1.22856,0.14839,0.71345,1.39122,0.1442,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,239.273,275.898,226.986,154.078,234.352,275.898,239.271,397.112,19.825,68.479,0.64006,0.63984,0.01214,0.055,0,-0.55,4.761,1.485,-83.747,-3.995,57.284,0.0,19.759,-11.44,-10.765,-23.154,-13.099,0.0,0,0,0,control.csv,0.4
0.5333,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.8388,0.8496,1.15069,0.14535,0.79788,1.25454,0.14217,0.72357,1.40378,0.13761,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,216.729,249.065,211.415,136.693,212.184,249.065,216.727,401.521,18.592,88.568,0.60703,0.60663,0.01208,0.055,0,-0.55,5.374,1.123,-84.099,-4.727,56.826,0.0,17.758,-10.624,-10.661,-21.47,-14.382,0.0,0,0,0,control.csv,0.4666
0.6,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.82065,0.86518,1.166,0.14011,0.80511,1.28024,0.13618,0.7336,1.41623,0.1315,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,194.272,222.777,199.205,119.655,190.155,222.777,194.271,406.072,17.348,108.232,0.56993,0.56933,0.01203,0.055,0,-0.55,5.918,0.789,-84.45,-5.394,56.327,0.0,15.587,-9.842,-10.551,-19.292,-15.588,0.0,0,0,0,control.csv,0.5333
0.6667,0.06667,15.0,T1_entry_rcm_tip_target,EntryRCM_TipTarget,Done,0.0,0.8025,0.88057,1.18126,0.13508,0.81166,1.30557,0.13046,0.74351,1.42851,0.12589,1.0,1.3,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,172.026,197.152,190.867,103.06,168.41,197.152,172.025,410.656,16.103,127.272,0.53412,0.53328,0.01198,0.055,0,-0.55,6.389,0.481,-84.796,-5.985,55.792,0.0,13.483,-8.91,-10.219,-17.107,-16.682,0.0,0,0,0,control.csv,0.6
