time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,raw_task_qdot_norm_rad_s,nullspace_joint_contrib_norm_rad_s,boosted_damping,task2_nullspace_disabled,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok,tip_target_ok,skull_ok_0mm,log_file,time_rel_s
0.0667,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71492,1.03636,0.1968,0.7139,1.03981,0.19682,0.63482,1.30762,0.19818,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,400.185,478.08,398.654,280.717,393.188,400.185,399.898,399.898,28.549,0.0,0.53019,0.53002,0.01231,0.055,0,0.0,-0.062,4.115,-81.034,0.34,60.468,0.0,-1.194,-21.167,2.395,6.408,20.653,0.0,0,0,1,control.csv,0.0
0.1333,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71474,1.04515,0.19481,0.71372,1.04861,0.19484,0.6349,1.31649,0.19706,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,394.094,469.249,392.617,274.174,387.167,394.094,393.507,393.507,28.607,0.0,0.52518,0.52503,0.01232,0.055,0,0.0,-0.102,3.42,-80.958,0.552,61.144,0.0,-1.27,-21.014,2.273,6.441,20.386,0.0,0,0,1,control.csv,0.0666
0.2,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71457,1.05395,0.19282,0.71355,1.05741,0.19286,0.63496,1.32534,0.19594,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,388.106,460.417,386.685,267.796,381.253,388.106,387.106,391.244,28.658,0.0,0.52007,0.51989,0.01232,0.055,0,0.0,-0.145,2.728,-80.882,0.764,61.81,0.0,-1.302,-20.905,2.239,6.41,20.077,0.0,0,0,1,control.csv,0.13330000000000003
0.2667,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.7144,1.06276,0.19082,0.71339,1.06622,0.19088,0.63499,1.3342,0.19483,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,382.227,451.584,380.865,261.595,375.453,382.227,380.694,396.721,28.702,0.0,0.51531,0.51512,0.01232,0.055,0,0.0,-0.189,2.039,-80.808,0.976,62.466,0.0,-1.355,-20.79,2.178,6.417,19.792,0.0,0,0,1,control.csv,0.2
0.3333,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71425,1.07158,0.18883,0.71324,1.07503,0.18889,0.63498,1.34304,0.19373,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,376.463,442.751,375.162,255.581,369.772,376.463,374.274,402.368,28.739,0.0,0.51068,0.51042,0.01231,0.055,0,0.0,-0.234,1.355,-80.735,1.187,63.113,0.0,-1.391,-20.728,2.224,6.399,19.46,0.0,0,0,1,control.csv,0.2666
0.4,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.7141,1.0804,0.18684,0.71309,1.08385,0.18691,0.63495,1.35188,0.19264,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,370.82,433.919,369.583,249.767,364.216,370.82,367.844,408.178,28.769,0.0,0.50592,0.50565,0.01231,0.055,0,0.0,-0.281,0.673,-80.664,1.398,63.75,0.0,-1.427,-20.613,2.164,6.388,19.179,0.0,0,0,1,control.csv,0.33330000000000004
0.4667,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71395,1.08923,0.18484,0.71295,1.09268,0.18493,0.63489,1.36071,0.19155,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,365.304,425.089,364.134,244.167,358.794,365.304,361.406,414.141,28.792,0.0,0.50135,0.50108,0.01231,0.055,0,0.0,-0.329,-0.005,-80.594,1.609,64.377,0.0,-1.456,-20.489,2.065,6.367,18.932,0.0,0,0,1,control.csv,0.4
0.5333,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71382,1.09806,0.18285,0.71281,1.10151,0.18294,0.63479,1.36953,0.19046,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,359.923,416.26,358.823,238.793,353.511,359.923,354.959,420.246,28.808,0.0,0.49694,0.49668,0.01231,0.055,0,0.0,-0.378,-0.679,-80.526,1.819,64.996,0.0,-1.488,-20.368,1.967,6.357,18.691,0.0,0,0,1,control.csv,0.4666
0.6,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71369,1.1069,0.18085,0.71268,1.11035,0.18096,0.63467,1.37835,0.18939,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,354.682,407.435,353.654,233.661,348.374,354.682,348.504,426.486,28.818,0.0,0.49275,0.49247,0.01231,0.055,0,0.0,-0.428,-1.351,-80.459,2.03,65.606,0.0,-1.528,-20.278,1.931,6.361,18.421,0.0,0,0,1,control.csv,0.5333
0.6667,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71357,1.11575,0.17886,0.71256,1.1192,0.17898,0.63452,1.38716,0.18831,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,349.589,398.612,348.637,228.784,343.391,349.589,342.041,432.85,28.821,0.0,0.48865,0.48832,0.0123,0.055,0,0.0,-0.479,-2.019,-80.395,2.239,66.208,0.0,-1.551,-20.207,1.923,6.342,18.144,0.0,0,0,1,control.csv,0.6
0.7333,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71345,1.1246,0.17687,0.71244,1.12805,0.177,0.63435,1.39596,0.18724,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,344.652,389.796,343.778,224.18,338.569,344.652,335.571,439.333,28.818,0.0,0.48451,0.48413,0.0123,0.055,0,0.0,-0.53,-2.685,-80.33,2.447,66.801,0.0,-1.567,-20.148,1.947,6.316,17.848,0.0,0,0,1,control.csv,0.6666
0.8,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71334,1.13346,0.17488,0.71233,1.13691,0.17502,0.63414,1.40475,0.18617,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,339.877,380.984,339.085,219.862,333.916,339.877,329.093,445.925,28.808,0.0,0.48028,0.47991,0.0123,0.055,0,0.0,-0.582,-3.347,-80.269,2.655,67.386,0.0,-1.558,-20.039,1.844,6.255,17.628,0.0,0,0,1,control.csv,0.7333000000000001
0.8667,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71324,1.14232,0.17289,0.71223,1.14577,0.17305,0.63391,1.41353,0.1851,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,335.273,372.179,334.565,215.847,329.439,335.273,322.61,452.62,28.793,0.0,0.47625,0.47589,0.0123,0.055,0,0.0,-0.633,-4.006,-80.21,2.861,67.963,0.0,-1.574,-19.928,1.746,6.234,17.409,0.0,0,0,1,control.csv,0.8
0.9333,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71314,1.15119,0.17091,0.71213,1.15464,0.17108,0.63365,1.42231,0.18404,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,330.847,363.382,330.227,212.151,325.147,330.847,316.119,459.411,28.771,0.0,0.4723,0.47189,0.01229,0.055,0,0.0,-0.686,-4.663,-80.152,3.066,68.532,0.0,-1.584,-19.859,1.736,6.208,17.142,0.0,0,0,1,control.csv,0.8666
1.0,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71305,1.16006,0.16893,0.71204,1.16351,0.16911,0.63336,1.43108,0.18297,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,326.607,354.595,326.077,208.79,321.049,326.607,309.623,466.291,28.743,0.0,0.46848,0.46805,0.01229,0.055,0,0.0,-0.738,-5.317,-80.094,3.27,69.093,0.0,-1.568,-19.799,1.718,6.146,16.892,0.0,0,0,1,control.csv,0.9333
1.0667,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71297,1.16894,0.16695,0.71195,1.17239,0.16714,0.63304,1.43984,0.18191,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,322.562,345.818,322.125,205.779,317.151,322.562,303.121,473.255,28.709,0.0,0.46458,0.46414,0.01228,0.055,0,0.0,-0.789,-5.969,-80.039,3.472,69.646,0.0,-1.556,-19.709,1.646,6.091,16.669,0.0,0,0,1,control.csv,1.0
1.1333,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71289,1.17782,0.16498,0.71187,1.18127,0.16518,0.6327,1.4486,0.18084,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,318.719,337.052,318.378,203.13,313.461,318.719,296.614,480.296,28.669,0.0,0.46086,0.46035,0.01228,0.055,0,0.0,-0.84,-6.619,-79.982,3.672,70.19,0.0,-1.537,-19.668,1.671,6.031,16.397,0.0,0,0,1,control.csv,1.0666
1.2,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71282,1.18671,0.16301,0.71179,1.19016,0.16322,0.63233,1.45734,0.17978,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,315.086,328.301,314.844,200.858,309.99,315.086,290.102,487.408,28.623,0.0,0.45688,0.45641,0.01227,0.055,0,0.0,-0.89,-7.266,-79.93,3.869,70.727,0.0,-1.503,-19.55,1.525,5.949,16.22,0.0,0,0,1,control.csv,1.1333
1.2667,0.06667,15.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71275,1.1956,0.16105,0.71172,1.19905,0.16127,0.63194,1.46608,0.17871,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,311.672,319.564,311.531,198.974,306.743,311.672,283.587,494.588,28.571,0.0,0.45325,0.45275,0.01227,0.055,0,0.0,-0.94,-7.91,-79.88,4.065,71.257,0.0,-1.483,-19.488,1.496,5.891,15.984,0.0,0,0,1,control.csv,1.2
