time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,task2_q4_limit_active,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok,tip_target_ok,skull_ok_0mm,log_file,time_rel_s
0.1095,0.08947,11.18,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.58672,1.46022,0.19666,0.58633,1.46158,0.19667,0.55642,1.56775,0.19756,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,151.177,175.274,150.672,101.857,148.529,151.177,150.012,158.661,29.271,0.0,0.66047,0,0.0,0.007,3.526,-80.736,0.523,61.478,0.0,0.03,-23.293,5.701,7.199,28.375,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.0
0.1642,0.00571,175.22,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.58377,1.47454,0.19415,0.5834,1.47591,0.19418,0.55453,1.58236,0.19576,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,144.948,161.825,144.553,94.332,142.427,144.948,141.605,168.895,29.838,0.0,0.64395,0,0.0,0.004,2.261,-80.43,0.922,62.999,0.0,-0.092,-23.006,5.529,7.334,27.342,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.05470000000000001
0.2259,0.01453,68.82,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.58045,1.49073,0.19133,0.58009,1.4921,0.19136,0.5523,1.59882,0.19375,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,139.467,146.94,139.212,88.193,137.13,139.467,132.094,181.361,30.423,0.0,0.62679,0,0.0,-0.005,0.85,-80.095,1.377,64.652,0.0,-0.183,-22.687,5.281,7.384,26.316,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.11639999999999999
0.2835,0.01489,67.16,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.57737,1.50583,0.18869,0.57703,1.5072,0.18873,0.55013,1.61413,0.1919,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,136.018,133.46,135.906,85.169,133.891,136.018,123.221,193.662,30.92,0.0,0.61168,0,0.0,-0.018,-0.449,-79.794,1.804,66.134,0.0,-0.268,-22.478,5.202,7.443,25.307,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.174
0.3356,0.01359,73.57,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.5746,1.51949,0.18631,0.57426,1.52086,0.18636,0.5481,1.62795,0.19024,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,134.381,121.699,134.407,84.904,132.477,134.381,115.184,205.241,31.328,0.0,0.59814,0,0.0,-0.033,-1.612,-79.53,2.191,67.429,0.0,-0.32,-22.249,5.023,7.439,24.47,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.22610000000000002
0.3917,0.01134,88.19,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.57163,1.53421,0.18376,0.5713,1.53559,0.18382,0.54585,1.64281,0.18847,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,134.259,109.654,134.435,87.258,132.619,134.259,106.519,218.094,31.727,0.0,0.58362,0,0.0,-0.051,-2.854,-79.255,2.603,68.775,0.0,-0.331,-22.008,4.819,7.323,23.598,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.2822
0.4445,0.01089,91.86,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.56885,1.54803,0.18138,0.56853,1.54941,0.18144,0.54366,1.65674,0.18681,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,135.7,99.144,136.013,91.766,134.323,135.7,98.382,230.45,32.062,0.0,0.57032,0,0.0,-0.068,-4.01,-79.002,2.984,69.994,0.0,-0.296,-21.834,4.722,7.113,22.762,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.335
0.5039,0.00962,103.92,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.56574,1.56359,0.17871,0.56543,1.56496,0.17879,0.54113,1.67239,0.18495,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,139.063,88.587,139.522,99.104,137.987,139.063,89.226,244.629,32.396,0.0,0.55584,0,0.0,-0.084,-5.303,-78.723,3.4,71.315,0.0,-0.261,-21.641,4.609,6.904,21.839,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.39440000000000003
0.5585,0.00847,118.02,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.56289,1.57785,0.17628,0.56259,1.57922,0.17637,0.53874,1.6867,0.18323,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,143.663,80.533,144.244,107.527,142.856,143.663,81.146,257.834,32.662,0.0,0.54153,0,0.0,-0.093,-6.481,-78.471,3.76,72.481,0.0,-0.104,-21.489,4.557,6.394,20.959,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.449
0.6159,0.00949,105.42,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.55992,1.59278,0.17377,0.55962,1.59416,0.17387,0.53615,1.70168,0.18142,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,149.889,74.328,150.583,117.698,149.347,149.889,74.709,271.845,32.899,0.0,0.52694,0,0.0,-0.093,-7.712,-78.206,4.109,73.655,0.0,0.074,-21.358,4.586,5.839,20.006,0.0,0,0,1,project4_multircm_20260716_121041_177.csv,0.5064
