log_file,task,phase,samples,duration_s,tip_target_error_mm_max,tip_target_error_mm_mean,tip_target_error_mm_final,entry_rcm_error_mm_max,entry_rcm_error_mm_mean,entry_rcm_error_mm_final,target_rcm_error_mm_max,target_rcm_error_mm_mean,target_rcm_error_mm_final,task2_entry_cone_error_mm_max,task2_entry_cone_error_mm_mean,task2_entry_cone_error_mm_final,task4_tip_cone_error_mm_max,task4_tip_cone_error_mm_mean,task4_tip_cone_error_mm_final,active_task_error_mm_max,active_task_error_mm_mean,active_task_error_mm_final,skull_violation_mm_max,skull_violation_mm_mean,skull_violation_mm_final,qdot_norm_rad_s_max,qdot_norm_rad_s_mean,qdot_norm_rad_s_final,lambda_max,lambda_mean,lambda_final,fps_max,fps_mean,fps_final
project4_multircm_20260716_121041_177.csv,T3_safe_insertion,ApproachEntry,20,1.0604,198.637,160.76875,198.637,175.274,98.9986,90.03,199.712,161.30374999999998,199.712,182.882,127.93469999999999,182.882,199.066,160.00330000000002,199.066,198.637,160.76875,198.637,0.0,0.0,0.0,0.66047,0.42520100000000005,0.13513,0.995,0.9950000000000001,0.995,175.22,101.83949999999999,109.93
project4_multircm_20260716_121041_177.csv,T3_safe_insertion,Done,95,5.384400000000003,5.824,1.3212947368421049,0.689,0.232,0.1254105263157895,0.085,111.722,111.72033684210523,111.722,10.131,8.767473684210525,8.714,15.05,13.326789473684212,13.135,5.824,1.3212947368421049,0.689,0.0,0.0,0.0,0.0706,0.01683926315789474,0.00691,0.62487,0.6072940000000001,0.60535,171.44,98.99831578947368,107.15
project4_multircm_20260716_121041_177.csv,T3_safe_insertion,InsertToTarget,180,10.238,115.312,62.01538888888889,6.457,4.97,0.2950944444444445,0.232,116.689,111.82755000000002,111.707,116.778,63.35253888888888,10.495,116.093,64.0488111111111,15.31,115.312,62.01538888888889,6.457,0.0,0.0,0.0,0.19561,0.07055872222222223,0.07019,0.995,0.8235522777777778,0.62719,179.71,98.10349999999998,96.05
project4_multircm_20260716_121041_177.csv,T3_safe_insertion,PierceEntry,112,6.1748,207.648,168.12480357142857,116.136,97.754,58.206044642857144,5.798,208.777,169.3512857142857,117.51,194.937,161.67785714285714,117.532,208.135,168.49964285714285,116.898,207.648,168.12480357142857,116.136,0.0,0.0,0.0,0.57443,0.19082651785714286,0.22139,0.995,0.9949999999999998,0.995,136.98,107.57321428571429,106.01
project4_multircm_20260716_121041_177.csv,T1_entry_rcm_tip_target,Done,75,4.263000000000002,0.659,0.5041866666666668,0.401,0.131,0.10863999999999997,0.087,111.723,111.72224,111.723,8.919,8.899320000000001,8.879,14.439,14.271213333333336,14.134,0.659,0.5041866666666668,0.401,0.0,0.0,0.0,0.00705,0.005602266666666666,0.00422,0.60533,0.6052142666666667,0.60521,176.05,100.06666666666666,91.62
project4_multircm_20260716_121041_177.csv,T2_target_rcm_entry_cone,Done,1382,77.5151,0.293,0.005550651230101304,0.006,110.316,110.31115918958032,110.315,1.443,1.415079594790159,1.41,13.781,5.763994934876989,13.78,14.084,13.801340810419683,13.797,13.781,5.763994934876989,13.78,0.0,0.0,0.0,0.17887,0.038371396526772794,0.05545,0.995,0.995,0.995,175.91,81.16828509406658,77.61
project4_multircm_20260716_121041_177.csv,T4_entry_rcm_tip_cone,Done,1266,70.41750000000002,15.041,13.017041074249606,10.248,4.352,0.33712875197472353,0.214,112.258,111.72439652448658,111.724,9.603,8.664612164296997,8.59,13.203,3.4441113744075826,9.927,13.203,3.4441113744075826,9.927,0.0,0.0,0.0,0.66969,0.0757963112164297,0.16415,0.607,0.6028215876777251,0.60364,138.66,76.69801737756714,89.73
project4_multircm_20260716_121359_711.csv,T3_safe_insertion,ApproachEntry,20,1.047,198.018,159.9251,198.018,175.274,99.6952,89.505,199.091,160.4427,199.091,182.132,126.61145000000002,182.132,198.442,159.12285,198.442,198.018,159.9251,198.018,0.0,0.0,0.0,0.66047,0.4318995,0.13746,0.995,0.9950000000000001,0.995,124.79,99.44200000000001,111.17
project4_multircm_20260716_121359_711.csv,T3_safe_insertion,Done,55,3.397100000000002,5.793,1.6869818181818181,0.859,0.232,0.14476363636363637,0.105,111.722,111.71921818181815,111.722,10.118,8.809654545454546,8.71,15.104,13.517654545454544,13.099,5.793,1.6869818181818181,0.859,0.0,0.0,0.0,0.07026,0.022632181818181822,0.00894,0.62476,0.6086536363636365,0.60551,66.83,48.136909090909086,47.25
project4_multircm_20260716_121359_711.csv,T3_safe_insertion,InsertToTarget,174,9.906500000000001,114.992,61.6853908045977,6.429,4.647,0.2883620689655173,0.232,116.37,111.82010344827589,111.707,116.496,63.0191724137931,10.484,115.786,63.738431034482765,15.364,114.992,61.6853908045977,6.429,0.0,0.0,0.0,0.18302,0.07017724137931035,0.06995,0.995,0.8224163793103446,0.62709,168.66,72.50862068965517,57.25
project4_multircm_20260716_121359_711.csv,T3_safe_insertion,PierceEntry,113,6.2075000000000005,207.603,167.88115044247786,115.826,97.718,57.96441592920354,5.492,208.73,169.1080265486726,117.2,194.885,161.4494867256637,117.214,208.095,168.25967256637168,116.586,207.603,167.88115044247786,115.826,0.0,0.0,0.0,0.52476,0.18927115044247786,0.22015,0.995,0.9949999999999998,0.995,149.72,107.53424778761061,108.25
project4_multircm_20260716_121359_711.csv,T1_entry_rcm_tip_target,Done,104,6.114699999999999,0.836,0.5592211538461539,0.403,0.161,0.12042307692307694,0.088,111.723,111.72221153846152,111.723,8.95,8.91075,8.874,14.618,14.298990384615383,14.079,0.836,0.5592211538461539,0.403,0.0,0.0,0.0,0.00912,0.006361923076923076,0.00426,0.60548,0.6052180769230768,0.60521,65.04,50.744807692307695,62.75
project4_multircm_20260716_121359_711.csv,T2_target_rcm_entry_cone,Done,1174,67.16039999999998,0.347,0.006005962521294719,0.001,110.316,110.31048551959115,110.314,1.454,1.4156831345826235,1.414,13.612,5.016419931856899,5.72,14.137,13.801643952299827,13.8,13.612,5.016419931856899,5.72,0.0,0.0,0.0,0.18058,0.04128295570698467,0.01803,0.995,0.9949999999999999,0.995,154.69,73.60313458262351,63.65
project4_multircm_20260716_121359_711.csv,T4_entry_rcm_tip_cone,Done,1330,78.513,15.04,12.12414060150376,3.376,7.217,0.3448706766917293,0.957,112.168,111.72471203007521,111.737,14.363,8.702660902255639,9.31,14.344,4.385487969924813,11.175,14.344,4.385487969924813,11.175,0.0,0.0,0.0,1.55069,0.09031676691729325,0.14889,0.60861,0.6030465563909775,0.60526,136.66,73.55187969924812,22.78
