time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,task2_q4_limit_active,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok,tip_target_ok,skull_ok_0mm,log_file,time_rel_s
0.0696,0.04963,20.15,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.58672,1.46022,0.19666,0.58633,1.46158,0.19667,0.55642,1.56775,0.19756,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,151.177,175.274,150.672,101.857,148.529,151.177,150.012,158.661,29.271,0.0,0.66047,0,0.0,0.007,3.526,-80.736,0.523,61.478,0.0,0.03,-23.293,5.701,7.199,28.375,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.0
0.1223,0.01287,77.71,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.58387,1.47402,0.19425,0.5835,1.47539,0.19427,0.5546,1.58183,0.19582,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,145.153,162.309,144.754,94.573,142.627,145.153,141.911,168.509,29.818,0.0,0.64463,0,0.0,0.005,2.306,-80.441,0.906,62.945,0.0,-0.077,-23.029,5.558,7.301,27.379,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.05270000000000001
0.1903,0.02334,42.85,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.58022,1.49184,0.19113,0.57987,1.49321,0.19116,0.55214,1.59994,0.19361,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,139.158,145.937,138.913,87.878,136.834,139.158,131.444,182.242,30.461,0.0,0.62626,0,0.0,-0.005,0.754,-80.072,1.408,64.762,0.0,-0.214,-22.714,5.357,7.458,26.215,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.1207
0.2456,0.02012,49.71,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.57727,1.50632,0.18861,0.57693,1.5077,0.18865,0.55006,1.61463,0.19184,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,135.929,133.021,135.823,85.114,133.811,135.929,122.925,194.076,30.935,0.0,0.61099,0,0.0,-0.018,-0.493,-79.782,1.817,66.181,0.0,-0.265,-22.486,5.228,7.426,25.246,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.17600000000000002
0.2982,0.01751,57.12,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.57447,1.52014,0.1862,0.57414,1.52151,0.18625,0.54801,1.62861,0.19016,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,134.335,121.151,134.367,84.947,132.442,134.335,114.798,205.798,31.346,0.0,0.59741,0,0.0,-0.034,-1.669,-79.514,2.208,67.486,0.0,-0.33,-22.255,5.055,7.456,24.394,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.22860000000000003
0.3609,0.01618,61.81,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.57115,1.53658,0.18335,0.57083,1.53796,0.18341,0.54548,1.64521,0.18818,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,134.399,107.789,134.598,87.88,132.803,134.399,105.122,220.194,31.787,0.0,0.58132,0,0.0,-0.054,-3.055,-79.205,2.669,68.983,0.0,-0.32,-22.003,4.853,7.273,23.424,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.2913
0.42,0.01447,69.11,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.56805,1.55204,0.18069,0.56773,1.55342,0.18076,0.54301,1.66078,0.18633,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,136.398,96.275,136.749,93.45,135.098,136.398,96.021,234.084,32.153,0.0,0.56698,0,0.0,-0.072,-4.346,-78.925,3.093,70.338,0.0,-0.276,-21.801,4.713,7.032,22.546,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.3504
0.4755,0.01286,77.79,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.56514,1.56656,0.1782,0.56483,1.56794,0.17828,0.54063,1.67538,0.18459,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,139.915,86.766,140.401,100.747,138.896,139.915,87.479,247.373,32.456,0.0,0.55324,0,0.0,-0.086,-5.552,-78.664,3.476,71.561,0.0,-0.22,-21.683,4.746,6.777,21.59,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.4059
0.5341,0.01391,71.9,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.56208,1.58186,0.17561,0.56178,1.58324,0.1757,0.53804,1.69073,0.18275,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,145.21,78.623,145.822,110.145,144.476,145.21,79.179,261.585,32.731,0.0,0.53844,0,0.0,-0.094,-6.815,-78.394,3.857,72.8,0.0,-0.069,-21.474,4.58,6.281,20.741,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.4645
0.591,0.01556,64.27,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.55915,1.59663,0.17313,0.55885,1.59801,0.17323,0.53547,1.70554,0.18095,0.55329,1.69971,0.161,0.624,1.629,0.15221,0.703,1.55,0.1748,0.624,1.629,0.161,0.703,1.55,0.161,151.706,73.174,152.427,120.503,151.23,151.706,73.488,275.481,32.954,0.0,0.51825,0,0.0,-0.093,-8.032,-78.132,4.198,73.946,0.0,-0.046,-21.089,4.534,6.051,19.488,0.0,0,0,1,project4_multircm_20260714_193548_422.csv,0.5214
