time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg
0.08071,0.06071,16.47084,ApproachEntry,Double,757.29660,563.35420,91.75002,879.01250,879.01250,0.00000,757.29660,88.24998,81.24998,0.00000,0.00000,0.15601,1.00000,6,6,1,0.68060,1.22472,0.04515,1.01241,1.42840,0.13692,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.06301,25.75862,-27.00000,22.67546,25.33015,27.00000
0.12287,0.01503,66.54300,ApproachEntry,Double,621.88450,419.97470,103.21400,755.45920,755.45920,0.00000,621.88450,76.78601,69.78601,0.00000,0.00000,0.15601,1.00000,6,6,1,0.62532,1.04765,-0.00078,0.90847,1.31477,0.09126,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-0.29867,28.02235,-54.00000,49.67546,52.33015,54.00000
0.15432,0.01017,98.34941,ApproachEntry,Double,337.23760,353.65340,84.65863,481.03110,481.03110,0.00000,337.23760,84.65863,77.65863,0.00000,0.00000,0.15601,1.00000,6,6,1,0.47163,0.87118,0.02172,0.82006,1.02740,0.14088,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.11171,33.59185,-81.00000,59.90064,32.75466,68.99791
0.18522,0.01215,82.30549,ApproachEntry,Double,281.71920,497.78790,54.82785,437.53950,437.53950,0.00000,281.71920,54.82785,47.82785,0.00000,0.00000,0.15601,1.00000,6,6,1,0.37185,1.01671,0.00758,0.75976,0.97299,0.09484,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-13.49360,60.59185,-97.89794,32.90064,5.75466,41.99791
0.21524,0.01512,66.15903,ApproachEntry,Double,261.48080,510.63090,38.36301,413.04560,413.04560,0.00000,261.48080,38.36301,31.36301,0.00000,0.00000,0.15601,1.00000,6,6,1,0.43392,1.11288,0.01835,0.79139,0.95592,0.10540,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-11.65105,61.58827,-82.25295,14.90064,-12.24534,23.99791
0.25789,0.01346,74.30196,ApproachEntry,Double,112.21830,404.62180,15.80011,249.47080,249.47080,0.00000,112.21830,15.80011,8.80012,0.00000,0.00000,0.15601,1.00000,6,6,1,0.52814,1.06096,0.02617,0.80406,0.77533,-0.02163,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-7.96249,43.91209,-55.25295,-12.09936,-39.24534,39.88181
0.29951,0.01354,73.83302,ApproachEntry,Double,122.28020,456.95480,2.63990,281.91690,281.91690,0.00000,122.28020,2.63990,0.00000,0.00000,0.00000,0.15601,1.00000,6,6,1,0.55055,1.14383,0.05606,0.74903,0.79703,0.03764,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-5.75676,34.48314,-28.47497,-38.87729,-60.54171,55.53934
0.33833,0.01598,62.56489,AlignAtEntry,Double,7.67819,7.67819,0.38410,168.45730,168.45730,0.00000,7.67819,0.38410,0.00000,0.00000,0.00000,1.00000,1.00000,6,6,1,0.61835,1.05374,0.05888,0.81875,0.70757,0.06035,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.71818,22.10712,-18.42968,-42.97713,-52.06061,54.33854
0.37162,0.01029,97.21974,InsertToTarget,Double,1.32600,1.07776,0.17583,160.47920,160.47920,0.00466,1.07995,0.17583,0.00000,0.00000,0.00000,0.99813,1.00000,6,6,1,0.62166,1.04647,0.05991,0.82044,0.69936,0.06108,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.62692,20.85099,-17.09741,-43.79392,-51.92591,54.99029
0.40584,0.01028,97.23495,InsertToTarget,Double,1.58534,0.40775,0.06561,159.71410,159.71410,0.00945,0.40945,0.06561,0.00000,0.00000,0.00000,0.99619,1.00000,6,6,1,0.62220,1.04591,0.05996,0.82078,0.69868,0.06041,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.60821,20.63420,-16.79463,-44.01040,-51.93466,55.28884
0.43661,0.03077,32.50040,InsertToTarget,Double,2.24476,0.30297,0.04846,159.02150,159.02150,0.01376,0.30488,0.04846,0.00000,0.00000,0.00000,0.99446,1.00000,6,6,1,0.62255,1.04531,0.05996,0.82111,0.69807,0.06030,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.59739,20.53071,-16.68459,-44.05713,-51.91056,55.33730
0.46700,0.00858,116.57410,InsertToTarget,Double,2.91141,0.14895,0.02798,158.33770,158.33770,0.01801,0.15017,0.02798,0.00000,0.00000,0.00000,0.99274,1.00000,6,6,1,0.62294,1.04475,0.05998,0.82145,0.69748,0.06015,0.82000,0.70000,0.06000,0.90000,0.56000,0.06000,-3.58498,20.40277,-16.53052,-44.14441,-51.89006,55.43587
