time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok_10mm,tip_target_ok_25mm,skull_ok_0mm,log_file,time_rel_s
0.04,0.02,50.0,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71484,1.03823,0.19637,0.71382,1.04168,0.19639,0.63481,1.30951,0.19793,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,398.907,476.207,397.387,279.321,391.926,398.907,398.564,398.564,28.565,0.0,0.53114,0.0,-0.07,3.966,-81.017,0.386,60.616,0.0,-1.195,-21.147,2.315,6.425,20.757,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.0
0.1231,0.03477,28.76,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71436,1.05991,0.19144,0.71335,1.06337,0.19149,0.63492,1.33134,0.19517,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,384.177,454.453,382.796,263.6,377.381,384.177,382.825,394.947,28.695,0.0,0.52062,0.0,-0.173,2.26,-80.832,0.906,62.264,0.0,-1.288,-20.935,2.279,6.397,20.093,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.08310000000000001
0.1838,0.01678,59.59,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71404,1.07614,0.18776,0.71303,1.07959,0.18783,0.63488,1.34763,0.19313,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,373.619,438.201,372.35,252.58,366.977,373.619,371.029,405.38,28.764,0.0,0.50952,0.0,-0.256,1.0,-80.701,1.296,63.456,0.0,-1.408,-20.673,2.152,6.409,19.422,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.14379999999999998
0.2709,0.04148,24.11,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71363,1.09718,0.18299,0.71263,1.10063,0.18309,0.63467,1.36867,0.19052,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,360.597,417.169,359.49,239.375,354.184,360.597,355.725,419.676,28.821,0.0,0.50097,0.0,-0.371,-0.616,-80.534,1.799,64.954,0.0,-1.479,-20.484,2.07,6.394,18.893,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.23089999999999997
0.3261,0.0076,131.65,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71341,1.11196,0.17965,0.7124,1.11542,0.17977,0.63445,1.38341,0.18872,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,351.906,402.417,350.922,230.902,345.669,351.906,344.937,430.163,28.835,0.0,0.49035,0.0,-0.454,-1.737,-80.425,2.15,65.973,0.0,-1.533,-20.265,1.984,6.335,18.227,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.2861
0.3893,0.01981,50.47,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71316,1.12893,0.17583,0.71216,1.13239,0.17597,0.63409,1.40028,0.18666,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,342.477,385.522,341.643,222.109,336.463,342.477,332.549,442.602,28.831,0.0,0.48381,0.0,-0.553,-3.011,-80.308,2.549,67.114,0.0,-1.567,-20.049,1.743,6.306,17.922,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.3493
0.4541,0.02694,37.12,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71293,1.14633,0.17193,0.71192,1.14978,0.17209,0.63362,1.41753,0.18456,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,333.462,368.251,332.794,214.234,327.7,333.462,319.843,455.741,28.802,0.0,0.4767,0.0,-0.654,-4.308,-80.186,2.955,68.247,0.0,-1.56,-19.985,1.851,6.216,17.381,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.4141
0.5077,0.00726,137.75,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71277,1.16075,0.1687,0.71176,1.1642,0.16888,0.63315,1.43179,0.18283,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,326.512,353.964,325.99,208.652,320.977,326.512,309.29,466.899,28.76,0.0,0.46794,0.0,-0.739,-5.372,-80.093,3.286,69.163,0.0,-1.578,-19.756,1.646,6.154,16.895,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.46770000000000006
0.5714,0.01828,54.71,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71261,1.1779,0.16489,0.71159,1.18134,0.16509,0.63251,1.44869,0.18077,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,318.926,337.04,318.586,203.228,313.682,318.926,296.739,480.423,28.688,0.0,0.46185,0.0,-0.838,-6.627,-79.989,3.674,70.223,0.0,-1.542,-19.67,1.642,6.045,16.483,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.5314
0.628,0.01073,93.21,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71248,1.19312,0.16152,0.71146,1.19657,0.16174,0.63186,1.46367,0.17894,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,312.847,322.062,312.678,199.585,307.883,312.847,285.584,492.652,28.606,0.0,0.45427,0.0,-0.923,-7.734,-79.899,4.011,71.138,0.0,-1.48,-19.483,1.451,5.892,16.088,0.0,0,0,1,project4_multircm_20260619_215005_206.csv,0.588
