metric,value,source_file,time,fps_est,mode,phase,stage,task_inferred
,2692.0,double_rcm_log_20260616_002628_521_metrics.csv,0.0,,Unknown,Unknown,Unknown,Unknown
,93.55337,double_rcm_log_20260616_002628_521_metrics.csv,1.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,2.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,3.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,4.0,1.0,Unknown,Unknown,Unknown,Unknown
,154.1342,double_rcm_log_20260616_002628_521_metrics.csv,5.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,double_rcm_log_20260616_002628_521_metrics.csv,6.0,1.0,Unknown,Unknown,Unknown,Unknown
,323.0,double_rcm_log_20260616_002628_521_metrics.csv,7.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,8.0,1.0,Unknown,Unknown,Unknown,Unknown
,1.03533,double_rcm_log_20260616_002628_521_metrics.csv,9.0,1.0,Unknown,Unknown,Unknown,Unknown
,1.57497,double_rcm_log_20260616_002628_521_metrics.csv,10.0,1.0,Unknown,Unknown,Unknown,Unknown
,2.3723347590361445,double_rcm_log_20260616_002628_521_metrics.csv,11.0,1.0,Unknown,Unknown,Unknown,Unknown
,50.53287,double_rcm_log_20260616_002628_521_metrics.csv,12.0,1.0,Unknown,Unknown,Unknown,Unknown
,85.81099192771084,double_rcm_log_20260616_002628_521_metrics.csv,13.0,1.0,Unknown,Unknown,Unknown,Unknown
,2.26259,double_rcm_log_20260616_002628_521_metrics.csv,14.0,1.0,Unknown,Unknown,Unknown,Unknown
,1251.0,double_rcm_log_20260616_002628_521_metrics.csv,15.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,16.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0029047881694644,double_rcm_log_20260616_002628_521_metrics.csv,17.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.00102,double_rcm_log_20260616_002628_521_metrics.csv,18.0,1.0,Unknown,Unknown,Unknown,Unknown
,1.68835,double_rcm_log_20260616_002628_521_metrics.csv,19.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,double_rcm_log_20260616_002628_521_metrics.csv,20.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,double_rcm_log_20260616_002628_521_metrics.csv,21.0,1.0,Unknown,Unknown,Unknown,Unknown
,1118.0,double_rcm_log_20260616_002628_521_metrics.csv,22.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,23.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0069751610017889,double_rcm_log_20260616_002628_521_metrics.csv,24.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.00328,double_rcm_log_20260616_002628_521_metrics.csv,25.0,1.0,Unknown,Unknown,Unknown,Unknown
,5.16796,double_rcm_log_20260616_002628_521_metrics.csv,26.0,1.0,Unknown,Unknown,Unknown,Unknown
,7.313616118067979,double_rcm_log_20260616_002628_521_metrics.csv,27.0,1.0,Unknown,Unknown,Unknown,Unknown
,7.30126,double_rcm_log_20260616_002628_521_metrics.csv,28.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,29.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,30.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,31.0,1.0,Unknown,Unknown,Unknown,Unknown
,,double_rcm_log_20260616_002628_521_metrics.csv,32.0,1.0,Unknown,Unknown,Unknown,Unknown
