time,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,entry_error_mm,target_error_mm,needle_skull_violation_mm,lambda,stage,valid_post_insertion_context,raw_needle_skull_penetration_mm,intentional_needle_inside_skull,unsafe_needle_skull_violation_mm,source_file,fps_est,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.0,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,0.0,0.0,1.152969064447273e-09,0.0,2.66676954424801e-13
0.08702,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,11.491611123879569,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,0.0,1.0033136798820168e-10,5.370692956064762e-09,2.320622857404618e-14,8.832736797292242e-13
0.11404,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,37.00962250185048,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,3.552713678800501e-12,1.9613909155544685e-10,5.444366696382614e-09,2.320622857404618e-14,1.5809511706138792e-12
0.13539,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,46.83840749414518,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,7.993605777301127e-12,1.1727481095367286e-10,8.97772398556619e-09,6.961868572213853e-14,1.0140305636953566e-12
0.15777,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,44.682752457551416,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,1.7763568394002505e-12,1.9497610277581884e-10,4.133770319975165e-09,2.5945352296482636e-14,2.3619064109907366e-12
0.18332,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,39.138943248532264,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,0.0,9.274340470485362e-11,5.293202580448837e-09,4.641245714809236e-14,8.953572423072928e-13
0.21344,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,33.200531208499356,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,3.66205343881779e-12,8.602330664955658e-11,3.210173591879107e-09,3.2818563180946156e-14,6.964099343476673e-13
0.2377,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,41.22011541632316,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,3.5803616730494476e-12,1.0074141875504432e-10,9.314312743536871e-10,1.6409281590473078e-14,5.879175818603089e-13
0.27361,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,27.84739626844888,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,0.0,1.195279302310588e-10,5.768722905386332e-09,0.0,1.4145558349166491e-12
0.29564,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,503.186,529.4135,0.0,0.92,T3_safe_insertion,False,0.0,False,0.0,double_rcm_log_20260616_003411_225_cleaned_with_stages.csv,45.39264639128462,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,5.102196573270515e-12,1.4634967732172645e-10,526392.9912195542,5.189070459296527e-14,9.093694570861785e-13
