time,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,raw_needle_skull_penetration_mm,unsafe_needle_skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.0,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,0.0,3.4424266204340943e-11,1.1405746137507944e-09,0.0,4.3628931329284036e-13
0.10638,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,9.400263207369806,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,3.66205343881779e-12,9.08264591774897e-11,1.9648942870223526e-09,4.641245714809236e-14,7.390333271859849e-13
0.13781,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,31.816735602927153,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,1.9860273225978185e-12,7.064448097700394e-11,1.5442388425599021e-09,3.2818563180946156e-14,3.6345986217206925e-13
0.16811,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,33.00330033003298,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,1.9860273225978185e-12,1.1378596373181284e-11,1.0335058073007552e-09,2.320622857404618e-14,6.189874416063054e-13
0.20129,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,30.138637733574456,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,1.9860273225978185e-12,6.595492432484997e-11,1.3499013106412516e-09,2.320622857404618e-14,8.521434811053132e-13
0.23131,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,33.31112591605597,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,3.552713678800501e-12,8.861194797928754e-11,1.3427617806067822e-09,3.4809342861069267e-14,9.279431222445125e-13
0.26263,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,31.928480204342286,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,4.070144838902081e-12,3.031660959017926e-11,40216.27766354656,4.0194366942304644e-14,4.372664737769243e-13
0.29813,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,28.16901408450702,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,3.972054645195637e-12,3045.8950960561324,80413.06617815222,3.4809342861069267e-14,141.76289272545438
0.33324,ApproachEntry,Double,532.5364,503.186,58.09399,529.4135,529.4135,0.0,532.5364,58.09399,51.09399,0.0,0.0,0.0,0.0,0.92,1.0,6,6,1,0.9194,0.89559,0.11169,1.27235,0.85378,0.29522,0.82,0.7,0.06,0.9,0.56,0.06,0.0,-18.0,26.0,0.0,-14.0,0.0,double_rcm_log_20260616_113317_743.csv,28.481913984619787,Unknown,Task3_Insertion,0.0,58.094124804461345,136.8838332447037,156.57803130534026,80.170857067262,524.7214764615605,529.4144494628003,212.7079047165912,5682.021627656309,52500.571337043235,9.899910183130647,269.5049586977424
0.46538,ApproachEntry,Double,483.1426,171.6029,50.77913,454.7051,454.7051,0.0,483.1426,50.77913,43.77913,0.0,0.0,0.0,0.0,0.0,1.0,6,6,1,0.86719,0.83016,0.16138,1.21635,0.73838,0.33361,0.82,0.7,0.06,0.9,0.56,0.06,-3.3134,-24.72,32.72,-6.43321,-20.72,6.72,double_rcm_log_20260616_113317_743.csv,7.567731194187981,Unknown,Task3_Insertion,0.0,50.78004508884871,124.92054291138575,138.27669225354455,70.24258682355487,454.7030545379631,454.70779518279653,799.70942354876,2197.4089619336587,24681.773067605027,39.45452475769697,79.41964227644674
