time,dt,fps,phase,mode,tip_entry_error_mm,entry_rcm_error_mm,entry_axis_error_deg,target_rcm_or_tip_error_mm,final_target_tip_error_mm,insertion_progress,insertion_intermediate_error_mm,entry_cone_angle_deg,entry_cone_violation_deg,skull_violation_mm,arm_skull_violation_mm,entry_lambda,target_lambda,entry_segment,target_segment,joint_limits_ok,tool_x,tool_y,tool_z,tip_x,tip_y,tip_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,cone_t2_angle_deg_geom,cone_t2_radius_mm_geom,entry_side_distance_to_entry_mm_geom,cone_t4_angle_deg_geom,cone_t4_radius_mm_geom,tip_distance_to_target_mm_geom,tip_speed_mm_s,tip_acc_mm_s2,tip_jerk_mm_s3,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.08376,0.06376,15.68292,ApproachEntry,Double,410.6093,306.6337,94.18493,545.8825,545.8825,0.0,410.6093,85.81507,78.81507,0.0,0.0,0.15601,1.0,6,6,1,0.55725,0.88548,0.01804,0.8715,1.09867,0.14371,0.82,0.7,0.06,0.9,0.56,0.06,-2.80351,24.1489,-64.79998,60.12848,48.68184,64.79998,double_rcm_log_20260616_135224_890.csv,15.68292,Unknown,Task3_Insertion,0.0,85.81519808669682,160.81525426893873,219.55721392563518,141.33166613437194,256.5513143722987,545.8800078771892,4005.536476707759,54791.64610550481,1491320.4779598762,672.4967833852991,18108.82023673799
0.12913,0.01695,59.00862,ApproachEntry,Double,274.0868,494.0802,54.68492,430.2325,430.2325,0.0,274.0868,54.68492,47.68492,0.0,0.0,0.15601,1.0,6,6,1,0.37084,1.00957,0.00769,0.75873,0.9649,0.09457,0.82,0.7,0.06,0.9,0.56,0.06,-13.55849,60.08775,-98.02733,33.55463,5.48185,42.39783,double_rcm_log_20260616_135224_890.csv,59.00862,Unknown,Task3_Insertion,0.0,54.68470859707902,131.57335999417748,148.12183571172844,161.81708508091413,85.52782926312099,430.22820432881895,5465.766284863678,56531.66776944386,1756610.7598009233,874.5221082502023,12219.602122142323
0.16305,0.00936,106.7856,ApproachEntry,Double,119.6201,423.1617,8.38736,261.0858,261.0858,0.0,119.6201,8.38736,1.38736,0.0,0.0,0.15601,1.0,6,6,1,0.5436,1.09732,0.04506,0.74353,0.75579,-0.01314,0.82,0.7,0.06,0.9,0.56,0.06,-6.32812,35.90763,-35.79408,-31.24536,-58.98808,53.16642,double_rcm_log_20260616_135224_890.csv,106.7856,Unknown,Task3_Insertion,0.0,8.38748952649822,23.52035000295068,23.58349559011171,136.22765872854606,82.7545035632502,261.08627807680733,4044.984155711205,91258.60024834033,1410960.4720602436,787.0650968607187,13236.8174744854
0.19387,0.01191,83.94034,InsertToTarget,Double,0.8728,0.82172,0.15195,160.9537,160.9537,0.00167,0.8223,0.15195,0.0,0.0,0.0,0.99933,1.0,6,6,1,0.62139,1.04687,0.05985,0.82021,0.69978,0.06082,0.82,0.7,0.06,0.9,0.56,0.06,-3.62993,20.78921,-16.89091,-43.59532,-52.30922,54.92521,double_rcm_log_20260616_135224_890.csv,83.94034,Unknown,Task3_Insertion,0.0,0.15136350689233882,0.42597559441964344,0.42597596603368115,70.27327697452483,0.8232590021465859,160.95205776876534,2151.974541105825,65313.271569118486,1576128.513991403,206.4100864129308,13104.486362006319
0.23144,0.03757,26.61863,InsertToTarget,Double,1.35869,0.74891,0.12667,160.1147,160.1147,0.00693,0.75125,0.12667,0.0,0.0,0.0,0.99721,1.0,6,6,1,0.62188,1.04618,0.05991,0.82059,0.69903,0.06075,0.82,0.7,0.06,0.9,0.56,0.06,-3.61365,20.62411,-16.68791,-43.72173,-52.28939,55.0499,double_rcm_log_20260616_135224_890.csv,26.61863,Unknown,Task3_Insertion,0.0,0.12747648374719317,0.35875152747366723,0.35875174946367233,33.48086458958992,0.7506407519323388,160.11199673978211,23.628801273706642,26472.290819499805,860381.2629214601,4.543687265840278,2504.364901413076
0.264,0.00683,146.4619,InsertToTarget,Double,1.88779,0.33047,0.05234,159.3872,159.3872,0.01149,0.33215,0.05234,0.0,0.0,0.0,0.99537,1.0,6,6,1,0.62238,1.04563,0.05997,0.82093,0.69839,0.06033,0.82,0.7,0.06,0.9,0.56,0.06,-3.59659,20.43291,-16.4272,-43.90736,-52.28465,55.28418,double_rcm_log_20260616_135224_890.csv,146.4619,Unknown,Task3_Insertion,0.0,0.053936471840743856,0.15179117117661242,0.1517911880024979,10.067914236059233,0.33011419935438796,159.3862161543462,24.275373256204173,44.93277636167926,448423.1137442631,4.338938818074528,26.28391851280617
0.30385,0.01335,74.90291,InsertToTarget,Double,2.75635,0.11517,0.01978,158.4913,158.4913,0.01706,0.11608,0.01978,0.0,0.0,0.0,0.99312,1.0,6,6,1,0.62287,1.04488,0.05998,0.82137,0.69761,0.06012,0.82,0.7,0.06,0.9,0.56,0.06,-3.58099,20.27595,-16.2445,-44.00711,-52.25617,55.39834,double_rcm_log_20260616_135224_890.csv,74.90291,Unknown,Task3_Insertion,0.0,0.021396936725592796,0.060216517293964794,0.06021651831510191,2.495433298503398,0.12005767844601704,158.49038898305466,22.678925679461155,110.82576771228436,288.1592145265024,2.488233617151505,32.32326738134463
0.33852,0.01216,82.2683,InsertToTarget,Double,3.53678,0.07739,0.0,157.7093,157.7093,0.02192,0.07819,0.0,0.0,0.0,0.0,0.99117,1.0,6,6,1,0.62327,1.04421,0.05999,0.82175,0.69693,0.06008,0.82,0.7,0.06,0.9,0.56,0.06,-3.56889,20.1616,-16.12479,-44.05625,-52.22395,55.43929,double_rcm_log_20260616_135224_890.csv,82.2683,Unknown,Task3_Insertion,0.0,0.01357852722501454,0.03821349015091404,0.038213490519083064,1.2982902401027607,0.08008649170644339,157.7114257116459,22.47492861552156,42.84264050917712,1416.6219021531665,2.0486267315015083,11.167071725608654
0.37801,0.01222,81.85168,InsertToTarget,Double,4.42771,0.06901,0.0,156.818,156.818,0.02745,0.06991,0.0,0.0,0.0,0.0,0.98894,1.0,6,6,1,0.62371,1.04344,0.05999,0.82219,0.69616,0.06007,0.82,0.7,0.06,0.9,0.56,0.06,-3.55552,20.03741,-15.99918,-44.10204,-52.18522,55.4707,double_rcm_log_20260616_135224_890.csv,81.85168,Unknown,Task3_Insertion,0.0,0.01222685926412693,0.03440954671674462,0.03440954694902891,0.9084813059226603,0.07009883133010086,156.82457269190945,22.56292212130471,11.832397994286245,578.4728221564618,1.8894613381143175,1.5059251491782928
0.43361,0.03205,31.19682,InsertToTarget,Double,5.68262,0.0693,0.0,155.563,155.563,0.03523,0.07051,0.0,0.0,0.0,0.0,0.9858,1.0,6,6,1,0.62432,1.04234,0.05997,0.82281,0.69506,0.06007,0.82,0.7,0.06,0.9,0.56,0.06,-3.53737,19.87201,-15.839,-44.15153,-52.12938,55.49711,double_rcm_log_20260616_135224_890.csv,31.19682,Unknown,Task3_Insertion,0.0,0.015346247423807633,0.043188312218464114,0.043188312648698546,0.7145837225855245,0.07088452147410744,155.56189957698504,22.555272798714974,3.828866660801942,250.37910068593965,2.081078905945559,3.8726907005982425
