time,mode,phase,solveIK,lambda,lambda0,insertion_progress,tip_entry_error_mm,tip_target_error_mm,rcm_error_mm,weighted_error,skull_violation_mm,arm_skull_violation_mm,entry_axis_error_deg,entry_cone_violation_deg,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,source_file,fps_est,stage,task_inferred,total_skull_violation_mm,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.084,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,,Unknown,Task3_Insertion,0.0,0.0,0.0
0.1204,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,27.47252747252748,Unknown,Task3_Insertion,0.0,0.0,3.6393928509367925e-13
0.1537,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,30.03003003003002,Unknown,Task3_Insertion,0.0,2.320622857404618e-14,1.8047363544016184e-13
0.1863,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,30.67484662576688,Unknown,Task3_Insertion,0.0,1.160311428702309e-14,3.5812000533431267e-13
0.2193,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,30.3030303030303,Unknown,Task3_Insertion,0.0,0.0,4.082814444557153e-13
0.2512,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,31.347962382445157,Unknown,Task3_Insertion,0.0,2.320622857404618e-14,4.0510527132235093e-13
0.2814,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,33.11258278145695,Unknown,Task3_Insertion,0.0,2.5945352296482636e-14,8.006218446188518e-13
0.3114,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,33.33333333333331,Unknown,Task3_Insertion,0.0,2.5945352296482636e-14,1727.189536839141
0.3427,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,paper_rcm_log_20260616_110735_044_6492.csv,31.948881789137385,Unknown,Task3_Insertion,0.0,110.4647097479296,3145.8137131924627
0.3745,InsertionSequence,ApproachEntry,1,0.6542,0.65,0.0,490.417,477.099,371.44,2.826977,0.0,0.0,50.408,0.0,-0.009,-21.008,35.33,-0.096,-28.31,0.134,paper_rcm_log_20260616_110735_044_6492.csv,31.44654088050315,Unknown,Task3_Insertion,0.0,198.11872885651582,1300.1710331192676
0.413,InsertionSequence,ApproachEntry,1,0.65006,0.65,0.0,439.935,417.136,326.344,2.535774,0.0,0.0,42.428,0.0,-0.021,-22.517,42.591,-0.183,-42.441,0.307,paper_rcm_log_20260616_110735_044_6492.csv,25.974025974025988,Unknown,Task3_Insertion,0.0,176.39700800218472,863.8255569204192
0.4555,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,361.673,326.688,259.132,2.084446,0.0,0.0,31.672,0.0,-0.042,-22.6,49.222,-0.27,-60.564,0.548,paper_rcm_log_20260616_110735_044_6492.csv,23.529411764705863,Unknown,Task3_Insertion,0.0,151.2976106460743,902.7910234481016
0.4881,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,313.316,271.824,217.946,1.805636,0.0,0.0,25.788,0.0,-0.056,-21.86,51.586,-0.306,-70.296,0.671,paper_rcm_log_20260616_110735_044_6492.csv,30.674846625766907,Unknown,Task3_Insertion,0.0,122.75445369766545,814.0918420869798
0.5283,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,250.417,202.041,165.079,1.443048,0.0,0.0,19.116,0.0,-0.076,-20.321,53.334,-0.343,-81.82,0.797,paper_rcm_log_20260616_110735_044_6492.csv,24.875621890547254,Unknown,Task3_Insertion,0.0,101.99343688683257,610.4428373460372
0.571,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,199.79,148.869,124.16,1.151295,0.0,0.0,15.001,0.0,-0.094,-18.719,53.938,-0.367,-90.408,0.873,paper_rcm_log_20260616_110735_044_6492.csv,23.419203747072622,Unknown,Task3_Insertion,0.0,75.1193227285893,583.3304823485682
0.6109,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,160.257,112.628,95.403,0.923557,0.0,0.0,13.115,0.0,-0.11,-17.268,54.058,-0.384,-96.807,0.918,paper_rcm_log_20260616_110735_044_6492.csv,25.06265664160398,Unknown,Task3_Insertion,0.0,54.015314771510184,510.26042623492947
0.653,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,134.135,102.227,85.378,0.783758,0.0,0.0,13.194,0.0,-0.078,-16.289,54.665,-0.549,-100.804,0.632,paper_rcm_log_20260616_110735_044_6492.csv,23.75296912114013,Unknown,Task3_Insertion,0.0,35.129902215929775,326.62312075864645
