time,mode,phase,solveIK,lambda,lambda0,insertion_progress,tip_entry_error_mm,tip_target_error_mm,rcm_error_mm,weighted_error,skull_violation_mm,arm_skull_violation_mm,entry_axis_error_deg,entry_cone_violation_deg,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,entry_rcm_error_mm,target_rcm_or_tip_error_mm,stage,valid_post_insertion_context,raw_needle_skull_penetration_mm,intentional_needle_inside_skull,unsafe_needle_skull_violation_mm,source_file,fps_est,task_inferred,total_skull_violation_mm,joint_speed_rms_deg_s,joint_acc_rms_deg_s2
0.0,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,,Task3_Insertion,0.0,0.0,4.4110972017400866e-13
0.0371999999999999,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,26.8817204301076,Task3_Insertion,0.0,1.6409281590473078e-14,3.9998272333755376e-13
0.0837,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,21.505376344085978,Task3_Insertion,0.0,3.4809342861069267e-14,3.193942577072831e-13
0.1214,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,26.525198938992045,Task3_Insertion,0.0,2.5945352296482636e-14,3.4314757807201427e-13
0.1543,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,30.395136778115504,Task3_Insertion,0.0,1.6409281590473078e-14,545.1120244263581
0.1947999999999999,InsertionSequence,ApproachEntry,0,0.92,0.65,0.0,532.536,529.414,503.186,3.070015,0.0,0.0,58.094,0.0,0.0,-18.0,26.0,0.0,-14.0,0.0,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,24.69135802469142,Task3_Insertion,0.0,49.25393662651149,1165.7770374308627
0.2535,InsertionSequence,ApproachEntry,1,0.6542,0.65,0.0,490.417,477.099,371.44,2.826977,0.0,0.0,50.408,0.0,-0.009,-21.008,35.33,-0.096,-28.31,0.134,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,17.035775127768282,Task3_Insertion,0.0,113.46432940785576,454.3615430423907
0.3147,InsertionSequence,ApproachEntry,1,0.65006,0.65,0.0,439.935,417.136,326.344,2.535774,0.0,0.0,42.428,0.0,-0.021,-22.517,42.591,-0.183,-42.441,0.307,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,16.339869281045758,Task3_Insertion,0.0,98.91503486280776,319.8747028041189
0.3746,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,387.331,356.104,281.094,2.232404,0.0,0.0,35.023,0.0,-0.035,-22.782,47.498,-0.246,-54.999,0.474,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,16.694490818030047,Task3_Insertion,0.0,83.45249630356717,363.930776162856
0.4046,InsertionSequence,ApproachEntry,1,0.65,0.65,0.0,361.673,326.688,259.132,2.084446,0.0,0.0,31.672,0.0,-0.042,-22.6,49.222,-0.27,-60.564,0.548,,,T3_safe_insertion,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_cleaned_with_stages.csv,33.33333333333331,Task3_Insertion,0.0,72.4396914787629,359.49589290064114
