metric,value,time,mode,phase,entry_rcm_error_mm,target_rcm_or_tip_error_mm,needle_skull_metric_mm,unsafe_needle_violation_mm,arm_skull_violation_mm,stage,valid_post_insertion_context,intentional_needle_inside_skull,intentional_needle_penetration_mm,source_file,fps_est,task_inferred,total_skull_violation_mm
,1429.0,0,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,,Unknown,0.0
,55.6305,1,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,2,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,3,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,4,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,75.582,5,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,0.0,6,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,0.0,7,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,1206.0,8,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,9,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,10,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,11,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,12,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,13,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,14,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,10.275,15,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,166.0,16,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,17,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,18,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,19,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,20,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,0.1256265060240964,21,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,20.039,22,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,23,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,24,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,25,Unknown,Unknown,,,0.0,0.0,0.0,Unknown,False,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
