metric,value,source_file,time,fps_est,mode,phase,stage,task_inferred
,1429.0,paper_rcm_log_20260616_110935_960_8218_metrics.csv,0.0,,Unknown,Unknown,Unknown,Unknown
,55.6305,paper_rcm_log_20260616_110935_960_8218_metrics.csv,1.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,2.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,3.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,4.0,1.0,Unknown,Unknown,Unknown,Unknown
,75.582,paper_rcm_log_20260616_110935_960_8218_metrics.csv,5.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,paper_rcm_log_20260616_110935_960_8218_metrics.csv,6.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,paper_rcm_log_20260616_110935_960_8218_metrics.csv,7.0,1.0,Unknown,Unknown,Unknown,Unknown
,1206.0,paper_rcm_log_20260616_110935_960_8218_metrics.csv,8.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,9.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,10.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,11.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,12.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,13.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,14.0,1.0,Unknown,Unknown,Unknown,Unknown
,10.275,paper_rcm_log_20260616_110935_960_8218_metrics.csv,15.0,1.0,Unknown,Unknown,Unknown,Unknown
,166.0,paper_rcm_log_20260616_110935_960_8218_metrics.csv,16.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,17.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,18.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,19.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,20.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.1256265060240964,paper_rcm_log_20260616_110935_960_8218_metrics.csv,21.0,1.0,Unknown,Unknown,Unknown,Unknown
,20.039,paper_rcm_log_20260616_110935_960_8218_metrics.csv,22.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,23.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,24.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics.csv,25.0,1.0,Unknown,Unknown,Unknown,Unknown
