metric,value,time,mode,phase,entry_rcm_error_mm,target_rcm_or_tip_error_mm,skull_violation_mm,arm_skull_violation_mm,stage,valid_post_insertion_context,raw_needle_skull_penetration_mm,intentional_needle_inside_skull,unsafe_needle_skull_violation_mm,source_file,fps_est,task_inferred,total_skull_violation_mm
,26.0,0,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,,Unknown,0.0
,25.0,1,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,2,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,3,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,4,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,0.0,5,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,0.0,6,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,0.0,7,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,8,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
,,9,Unknown,Unknown,,,0.0,0.0,Unknown,False,0.0,False,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_cleaned_with_stages.csv,1.0,Unknown,0.0
