metric,value,source_file,time,fps_est,mode,phase,stage,task_inferred
,10.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,0.0,,Unknown,Unknown,Unknown,Unknown
,9.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,1.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,2.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,3.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,4.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,5.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,6.0,1.0,Unknown,Unknown,Unknown,Unknown
,0.0,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,7.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,8.0,1.0,Unknown,Unknown,Unknown,Unknown
,,paper_rcm_log_20260616_110935_960_8218_metrics_metrics_metrics.csv,9.0,1.0,Unknown,Unknown,Unknown,Unknown
