time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,task2_q4_limit_active,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok,tip_target_ok,skull_ok_0mm,log_file,time_rel_s
0.0665,0.04653,21.49,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71481,1.04169,0.1956,0.71379,1.04514,0.19562,0.63487,1.31299,0.1975,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,396.482,472.729,394.983,276.733,389.527,396.482,396.026,396.026,28.585,0.0,0.52704,0,0.0,-0.086,3.693,-80.987,0.469,60.879,0.0,-1.234,-21.094,2.37,6.418,20.459,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.0
0.1283,0.01763,56.73,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71449,1.05816,0.19187,0.71348,1.06162,0.19191,0.63498,1.32957,0.19541,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,385.282,456.197,383.889,264.811,378.467,385.282,384.043,393.838,28.68,0.0,0.51777,0,0.0,-0.166,2.398,-80.845,0.865,62.124,0.0,-1.325,-20.896,2.311,6.407,19.881,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.061799999999999994
0.2013,0.02547,39.27,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71414,1.07767,0.18745,0.71313,1.08112,0.18752,0.63496,1.34915,0.19298,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,372.551,436.65,371.294,251.542,365.92,372.551,369.833,406.366,28.76,0.0,0.50739,0,0.0,-0.267,0.883,-80.685,1.333,63.553,0.0,-1.424,-20.624,2.129,6.403,19.294,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.1348
0.2688,0.02859,34.98,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71385,1.09573,0.18337,0.71285,1.09918,0.18347,0.63482,1.3672,0.19075,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,361.33,418.591,360.211,240.189,354.892,361.33,356.662,418.62,28.804,0.0,0.49827,0,0.0,-0.365,-0.501,-80.545,1.764,64.835,0.0,-1.483,-20.422,2.035,6.366,18.739,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.20229999999999998
0.3191,0.02044,48.93,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71366,1.1092,0.18033,0.71265,1.11266,0.18045,0.63464,1.38064,0.1891,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,353.342,405.139,352.334,232.366,347.063,353.342,346.824,428.128,28.819,0.0,0.49165,0,0.0,-0.441,-1.524,-80.444,2.083,65.765,0.0,-1.51,-20.286,1.979,6.319,18.326,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.2526
0.3701,0.01942,51.48,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71347,1.12287,0.17726,0.71247,1.12633,0.17739,0.63438,1.39424,0.18745,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,345.601,391.514,344.712,225.054,339.496,345.601,336.833,438.059,28.819,0.0,0.48523,0,0.0,-0.52,-2.554,-80.345,2.406,66.687,0.0,-1.567,-20.107,1.827,6.325,17.968,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.3036
0.4397,0.02016,49.6,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71325,1.14157,0.17306,0.71224,1.14502,0.17322,0.63393,1.41279,0.18519,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,335.658,372.928,334.944,216.176,329.814,335.658,323.162,452.046,28.794,0.0,0.47659,0,0.0,-0.629,-3.951,-80.214,2.843,67.915,0.0,-1.575,-19.952,1.792,6.24,17.404,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.3732
0.5002,0.01791,55.84,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71308,1.15781,0.16943,0.71206,1.16126,0.16961,0.63343,1.42886,0.18324,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,327.663,356.82,327.11,209.608,322.068,327.663,311.269,464.539,28.751,0.0,0.46939,0,0.0,-0.724,-5.152,-80.108,3.218,68.951,0.0,-1.577,-19.807,1.711,6.169,16.956,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.4337
0.569,0.02035,49.13,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.7129,1.17633,0.16531,0.71188,1.17978,0.16551,0.63276,1.44713,0.18102,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,319.348,338.523,318.991,203.548,314.065,319.348,297.706,479.108,28.676,0.0,0.46145,0,0.0,-0.832,-6.509,-79.994,3.638,70.1,0.0,-1.554,-19.63,1.573,6.06,16.495,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.5025
0.6192,0.02192,45.62,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71279,1.18986,0.16231,0.71177,1.1933,0.16253,0.63219,1.46044,0.1794,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,313.85,325.204,313.644,200.145,308.812,313.85,287.794,489.944,28.605,0.0,0.4559,0,0.0,-0.908,-7.493,-79.915,3.939,70.917,0.0,-1.516,-19.56,1.583,5.958,16.106,0.0,0,0,1,project4_multircm_20260713_152329_232.csv,0.5527
