task,phase,metric,unit,n_samples,mean,rms,std,median,p95,max,final,threshold,pass_fail,note,source_log
T3_safe_insertion,ApproachEntry,tip_line_distance_mm,mm,19,94.9613,98.1113,24.6612,85.651,142.7211,150.012,87.898,--,--,Geometric diagnostic (distance of the tip from the entry-target line); no RCM task active yet.,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,ApproachEntry,tool_axis_angle_deg,deg,19,32.2799,32.305,1.2745,32.954,33.3206,33.326,33.251,--,--,Angle between tool axis and the nominal entry-target line.,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,PierceEntry,tip_line_distance_mm,mm,117,56.8764,63.9376,29.2076,59.307,96.048,96.75,4.39,--,--,,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,PierceEntry,tool_axis_angle_deg,deg,117,25.8551,26.494,5.7834,27.296,32.8608,33.218,13.452,--,--,,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,InsertToTarget (full phase),entry_rcm_error_mm,mm,180,0.3049,0.6794,0.6071,0.204,0.3836,4.837,0.232,--,--,Includes the transient right after the PierceEntry->InsertToTarget switch (RCM task just engaged).,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,"InsertToTarget (settled, t>=1s)",entry_rcm_error_mm,mm,160,0.1794,0.1883,0.0571,0.194,0.235,0.237,0.232,2.0,PASS,"Excludes first 1 s after phase entry (mode-switch transient), per analyze_rcm_logs_clean.py convention.",RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,Done (full phase),entry_rcm_error_mm,mm,174,0.1016,0.1089,0.0391,0.091,0.1867,0.231,0.058,--,--,,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,"Done (settled, t>=1s)",entry_rcm_error_mm,mm,155,0.091,0.0942,0.0245,0.086,0.1373,0.151,0.058,2.0,PASS,,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,Done (full phase),tip_target_error_mm,mm,174,0.992,1.2882,0.8218,0.7365,2.6689,5.575,0.467,--,--,Final needle-tip-to-target accuracy; 'final' column = last logged sample of the run in this phase.,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,"Done (settled, t>=1s)",tip_target_error_mm,mm,155,0.7521,0.7868,0.2313,0.697,1.2145,1.498,0.467,3.0,PASS,,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,InsertToTarget+Done,shaft_line_max_distance_mm,mm,354,202.8607,206.4697,38.4349,178.637,276.9443,286.268,171.325,--,--,Maximum distance of any sampled point on the shaft from the entry-target line (corridor diagnostic).,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,InsertToTarget+Done,tool_axis_angle_deg,deg,354,2.5599,4.2273,3.3641,1.0825,10.6288,13.162,0.268,--,--,,RCM_logs/project4_multircm_20260714_193548_422.csv
T3_safe_insertion,all phases,skull_violation_mm,mm,490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PASS,"Skull avoidance is disabled in Project4SceneBuilder (useSkullAvoidance=false, no skull object); this channel is identically zero and is NOT evidence of collision safety.",RCM_logs/project4_multircm_20260714_193548_422.csv
T2_target_rcm_entry_cone,Done (full task),task2_entry_cone_error_mm,mm,1097,4.9558,6.1312,3.6099,4.174,13.1714,13.665,2.428,--,--,Tracking error of the entry-side point vs. the commanded rotating cone reference (active control error).,RCM_logs/project4_multircm_20260714_193548_422.csv
T2_target_rcm_entry_cone,"Done (settled, t>=1s)",task2_entry_cone_error_mm,mm,1078,4.9113,6.1038,3.6243,4.1415,13.1974,13.665,2.428,--,--,,RCM_logs/project4_multircm_20260714_193548_422.csv
