time_s,dt_s,fps,task,mode,phase,insertion_progress,lambda,tip_x,tip_y,tip_z,rcm_x,rcm_y,rcm_z,entry_side_x,entry_side_y,entry_side_z,desired_tip_x,desired_tip_y,desired_tip_z,desired_entry_cone_x,desired_entry_cone_y,desired_entry_cone_z,desired_tip_cone_x,desired_tip_cone_y,desired_tip_cone_z,entry_x,entry_y,entry_z,target_x,target_y,target_z,tip_target_error_mm,entry_rcm_error_mm,target_rcm_error_mm,task2_entry_cone_error_mm,task4_tip_cone_error_mm,active_task_error_mm,tip_line_distance_mm,shaft_line_max_distance_mm,tool_axis_angle_deg,skull_violation_mm,qdot_norm_rad_s,lambdadot,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q1dot_deg_s,q2dot_deg_s,q3dot_deg_s,q4dot_deg_s,q5dot_deg_s,q6dot_deg_s,entry_rcm_ok_10mm,tip_target_ok_25mm,skull_ok_0mm,log_file,time_rel_s
0.1105,0.09054,11.04,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71474,1.0417,0.19557,0.71372,1.04515,0.1956,0.63483,1.31301,0.19748,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,396.521,472.729,395.022,276.741,389.568,396.521,396.062,396.062,28.59,0.0,0.53114,0.0,-0.085,3.691,-80.987,0.469,60.886,0.0,-1.195,-21.147,2.315,6.425,20.757,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.0
0.1622,0.00999,100.12,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71444,1.05547,0.19244,0.71342,1.05893,0.19248,0.6349,1.32688,0.19572,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,387.15,458.904,385.739,266.735,380.314,387.15,386.061,392.198,28.674,0.0,0.51981,0.0,-0.151,2.606,-80.867,0.801,61.933,0.0,-1.317,-20.928,2.298,6.427,20.019,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.05170000000000001
0.2338,0.02905,34.42,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71404,1.0746,0.1881,0.71304,1.07806,0.18817,0.63488,1.34609,0.19332,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,374.616,439.741,373.337,253.6,367.961,374.616,372.161,404.376,28.76,0.0,0.51212,0.0,-0.248,1.116,-80.709,1.26,63.345,0.0,-1.387,-20.724,2.161,6.416,19.588,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.1233
0.2854,0.03608,27.72,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71379,1.08759,0.18515,0.71278,1.09105,0.18524,0.63477,1.3591,0.1917,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,366.451,426.748,365.269,245.237,359.931,366.451,362.716,413.07,28.802,0.0,0.50589,0.0,-0.318,0.115,-80.604,1.571,64.278,0.0,-1.435,-20.603,2.137,6.397,19.186,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.1749
0.351,0.01902,52.57,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.7135,1.10515,0.18119,0.7125,1.10861,0.18129,0.63456,1.37662,0.18955,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,355.862,409.213,354.82,234.719,349.542,355.862,349.912,425.287,28.831,0.0,0.49511,0.0,-0.415,-1.225,-80.468,1.988,65.503,0.0,-1.509,-20.388,2.084,6.362,18.493,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.2405
0.4115,0.01145,87.31,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71327,1.12136,0.17753,0.71226,1.12482,0.17766,0.63426,1.39276,0.18757,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,346.611,393.056,345.709,225.904,340.495,346.611,338.079,437.001,28.836,0.0,0.48631,0.0,-0.508,-2.448,-80.35,2.371,66.604,0.0,-1.547,-20.167,1.917,6.307,17.995,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.301
0.47,0.01407,71.09,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71306,1.13709,0.174,0.71205,1.14054,0.17415,0.63389,1.40838,0.18567,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,338.156,377.415,337.399,218.261,332.257,338.156,326.585,448.713,28.819,0.0,0.47933,0.0,-0.6,-3.625,-80.24,2.739,67.643,0.0,-1.567,-19.999,1.79,6.255,17.593,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.3595
0.5326,0.01689,59.19,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71285,1.15389,0.17023,0.71184,1.15735,0.17041,0.63338,1.42501,0.18365,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,329.751,360.752,329.158,211.19,324.105,329.751,314.307,461.563,28.782,0.0,0.47214,0.0,-0.698,-4.87,-80.131,3.128,68.727,0.0,-1.576,-19.861,1.735,6.192,17.132,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.4221
0.5899,0.05733,17.44,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71273,1.16277,0.16825,0.71171,1.16622,0.16843,0.63306,1.43378,0.18258,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,325.601,351.976,325.099,207.952,320.099,325.601,307.83,468.479,28.754,0.0,0.47011,0.0,-0.75,-5.524,-80.074,3.331,69.287,0.0,-1.569,-19.83,1.734,6.162,16.995,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.4794
0.6518,0.0127,78.76,T3_safe_insertion,InsertionSequence,ApproachEntry,0.0,0.995,0.71258,1.17942,0.16455,0.71156,1.18287,0.16475,0.63244,1.4502,0.18058,0.72929,1.57071,0.1,0.8,1.5,0.07774,1.0,1.3,0.135,0.8,1.5,0.1,1.0,1.3,0.1,318.3,335.539,317.977,202.816,313.084,318.3,295.63,481.642,28.681,0.0,0.46038,0.0,-0.846,-6.744,-79.969,3.707,70.311,0.0,-1.533,-19.61,1.556,6.02,16.439,0.0,0,0,1,project4_multircm_20260624_092806_475.csv,0.5413
